Date,Operation,Price,value
2021-09-15,Transaction Sold,48176.34765625,49.0
2021-09-21,Transaction Buy,40693.67578125,27.0
2021-10-01,Transaction Sold,48116.94140625,27.0
2021-10-09,Transaction Buy,54968.22265625,72.0
2021-10-25,Transaction Sold,63039.82421875,72.0
2021-10-29,Transaction Buy,62227.96484375,70.0
2021-11-08,Transaction Sold,67566.828125,75.0
2021-11-11,Transaction Buy,64949.9609375,77.0
2021-11-11,Transaction Buy,64949.9609375,77.0
2021-11-23,Transaction Buy,57569.07421875,33.0
2021-11-25,Transaction Sold,57274.6796875,32.0
2021-11-25,Transaction Buy,57274.6796875,32.0
2021-12-05,Transaction Buy,49368.84765625,18.0
2021-12-15,Transaction Buy,48896.72265625,28.0
2021-12-16,Transaction Buy,47665.42578125,29.0
2022-01-17,Transaction Buy,42250.55078125,22.0
2022-01-19,Transaction Buy,41744.328125,24.0
2022-01-25,Transaction Buy,36954.00390625,12.0
2022-05-16,Transaction Buy,29862.91796875,14.0
2023-11-15,Transaction Sold,37880.58203125,60.0
2024-02-10,Transaction Sold,47771.27734375,74.0
2024-05-11,Transaction Buy,60793.7109375,53.0
2024-06-05,Transaction Buy,71082.8203125,75.0
2024-07-05,Transaction Buy,56662.375,29.0
2024-10-18,Transaction Sold,68418.7890625,73.0
2024-10-18,Transaction Sold,68418.7890625,73.0
2024-10-18,Transaction Sold,68418.7890625,73.0
2024-10-18,Transaction Sold,68418.7890625,73.0
2024-10-24,Transaction Buy,68161.0546875,69.0
2025-01-01,Transaction Buy,94419.7578125,66.0
2025-01-01,Transaction Buy,94419.7578125,66.0
2025-02-03,Transaction Buy,101405.421875,44.0
2025-02-03,Transaction Buy,101405.421875,44.0
